text,label
"Received monthly allowance from parents",Allowance
"Got my weekly pocket money today",Allowance
"Mom gave me some extra cash",Allowance
"Got cash from dad for school lunch",Allowance
"My parents transferred my allowance",Allowance
"Allowance from older brother",Allowance
"Pocket money for school",Allowance
"Cash allowance from parents",Allowance
"Got school lunch money",Allowance
"Got a little allowance for snacks",Allowance
"Dikasih uang jajan oleh ibu",Allowance
"Uang saku bulanan sudah masuk",Allowance
"Diberi uang oleh kakak untuk beli jajan",Allowance
"Dikasih uang jajan sebelum berangkat sekolah",Allowance
"Uang saku mingguan dari orang tua",Allowance
"Dikasih uang buat beli buku",Allowance
"Orang tua kirim uang bulanan",Allowance
"Uang saku dari orang tua masuk",Allowance
"Ibu kasih uang untuk ongkos",Allowance
"Ayah transfer uang jajan",Allowance
"Sold my old laptop",Asset Sale
"Sold antique coins to a collector",Asset Sale
"Sold furniture during a garage sale",Asset Sale
"Sold my gaming console",Asset Sale
"Got money from selling secondhand books",Asset Sale
"Sold a used smartphone online",Asset Sale
"Sold my old bicycle",Asset Sale
"Sold a vintage watch at an auction",Asset Sale
"Sold my old guitar",Asset Sale
"Sold a digital camera online",Asset Sale
"Menjual motor bekas",Asset Sale
"Jual HP lama di marketplace",Asset Sale
"Menjual kamera DSLR",Asset Sale
"Menjual barang bekas online",Asset Sale
"Uang dari hasil penjualan sofa",Asset Sale
"Menjual sepeda bekas",Asset Sale
"Menjual jam tangan antik di lelang",Asset Sale
"Menjual gitar tua",Asset Sale
"Menjual kamera digital online",Asset Sale
"Menjual peralatan elektronik bekas",Asset Sale
"Received a year-end bonus",Bonus
"Got a performance bonus at work",Bonus
"Received a cash bonus from my boss",Bonus
"Earned a bonus for hitting sales targets",Bonus
"Got a surprise bonus this month",Bonus
"Bonus payout came through",Bonus
"Received bonus for working overtime",Bonus
"Got an extra payment as a bonus",Bonus
"Received a bonus in my paycheck",Bonus
"Company rewarded me with a bonus",Bonus
"Mendapat bonus akhir tahun",Bonus
"Dapat bonus kinerja dari kantor",Bonus
"Bonus dari atasan sudah cair",Bonus
"Dapat uang tambahan dari bonus",Bonus
"Bonus penjualan bulan ini masuk",Bonus
"Terima bonus karena lembur",Bonus
"Perusahaan kasih bonus tahunan",Bonus
"Dapat tambahan gaji berupa bonus",Bonus
"Bonus sudah ditransfer ke rekening",Bonus
"Bonus kerja dikasih minggu ini",Bonus
"Received dividend from my stock investment",Dividend
"Got quarterly dividend from mutual funds",Dividend
"Earned dividend from my shares",Dividend
"Dividend payment arrived today",Dividend
"Got passive income from dividends",Dividend
"Company paid out stock dividends",Dividend
"Received bank dividend this month",Dividend
"Collected dividend from REITs",Dividend
"Dividend income credited to my account",Dividend
"Earned small dividend from ETF holdings",Dividend
